Count of items,Select time (ms),Insert time (ms)
1000,0.00930400000000022,0.03521099999999982
2000,0.009435500000000244,0.03427599999999989
3000,0.009509000000000217,0.04254699999999984
4000,0.009552000000000248,0.0389459999999999
5000,0.009496000000000226,0.03116999999999989
6000,0.009464500000000195,0.0375669999999998
7000,0.00975350000000015,0.03088199999999985
8000,0.009417000000000227,0.03393999999999982
9000,0.00952150000000021,0.035010999999999924
10000,0.009619000000000238,0.032846999999999855
